region,value
alabama,0.418433152
alaska,2.815985222
arizona,0.938670845
arkansas,0.342945172
california,2.013209013
colorado,0.397677879
connecticut,3.917073319
delaware,1.113667597
florida,0.585065615
georgia,1.34191429
hawaii,1.470262832
idaho,0
illinois,2.260216021
indiana,0.154230496
iowa,0.328261151
kansas,0
kentucky,0.921793432
louisiana,0.220586354
maine,2.258422221
maryland,2.424850421
massachusetts,3.359994893
michigan,0.505886495
minnesota,1.319777335
mississippi,2.35904933
missouri,0.667899275
montana,1.010698241
nebraska,0.547542874
nevada,0.740589606
new hampshire,3.038428525
new jersey,1.93359929
new mexico,1.456891314
new york,4.386394498
north carolina,1.363328947
north dakota,0
ohio,0.780132352
oklahoma,0.79971189
oregon,1.044093641
pennsylvania,1.417057387
rhode island,5.700349716
south carolina,0.216199201
south dakota,0
tennessee,0.472730911
texas,0.397684506
utah,1.085428663
vermont,7.990526432
virginia,3.374568055
washington,2.825472077
west virginia,0
wisconsin,0.879200336
wyoming,0
